"rides","end station name","end station latitude","end station longitude"
135,"N 15 St & Wythe Ave",40.724055,-73.955736
521,"Driggs Ave & N Henry St",40.72325,-73.94308
865,"Bedford Ave & Nassau Ave",40.72311651,-73.95212324
496,"Nassau Ave & Russell St",40.72557,-73.94434
350,"Banker St & Meserole Ave",40.72606,-73.95621
1862,"Norfolk St & Broome St",40.7172274,-73.98802084
669,"Meserole Ave & Manhattan Ave",40.72708584,-73.95299117
1075,"Milton St & Franklin St",40.72906,-73.95779
663,"Greenpoint Ave & Manhattan Ave",40.73026,-73.95394
686,"India St & Manhattan Ave",40.73232194,-73.9550858
766,"Huron St & Franklin St",40.73266,-73.95826
734,"Franklin St & Dupont St",40.73564,-73.95866
746,"McGuinness Blvd & Eagle St",40.73555,-73.95284
397,"Vernon Blvd & 50 Ave",40.74232744,-73.95411749
1448,"Allen St & Stanton St",40.722055,-73.989111
208,"Jackson Ave & 46 Rd",40.74524768,-73.94733276
278,"48 Ave & 5 St",40.744363287066875,-73.9558732509613
216,"31 St & Thomson Ave",40.74469738,-73.93540375
905,"46 Ave & 5 St",40.74731,-73.95451
460,"45 Rd & 11 St",40.74708586,-73.94977234
723,"44 Dr & Jackson Ave",40.74718234,-73.9432635
207,"9 St & 44 Rd",40.74966,-73.9521
124,"21 St & 43 Ave",40.75052534,-73.94594845
1763,"Queens Plaza North & Crescent St",40.75110165,-73.94073717
412,"Washington Ave & Park Ave",40.69610226,-73.96751037
214,"21 St & Queens Plaza North",40.75325964,-73.94335788
633,"E 68 St & 3 Ave",40.76712840349542,-73.96224617958069
515,"E 59 St & Madison Ave",40.76350532,-73.97109243
855,"3 Ave & E 62 St",40.76312584,-73.96526895
760,"E 75 St & 3 Ave",40.77112927,-73.95772297
982,"5 Ave & E 63 St",40.766368,-73.971518
2737,"5 Ave & E 73 St",40.77282817,-73.96685276
639,"E 72 St & Park Ave",40.77118287540658,-73.96409422159195
2357,"1 Ave & E 78 St",40.77140426,-73.9535166
4302,"1 Ave & E 68 St",40.76500525,-73.95818491
2019,"1 Ave & E 62 St",40.7612274,-73.96094022
1526,"5 Ave & E 78 St",40.77632142182271,-73.96427392959595
400,"E 81 St & Park Ave",40.77677702,-73.9590097
676,"E 84 St & Park Ave",40.77862688,-73.95772073
832,"E 81 St & 3 Ave",40.77573034,-73.9567526
1810,"E 85 St & 3 Ave",40.77801203,-73.95407149
1398,"E 84 St & 1 Ave",40.77565541,-73.95068615
1304,"South St & Gouverneur Ln",40.70355377,-74.00670227
763,"E 85 St & York Ave",40.77536905,-73.94803392
1132,"E 81 St & York Ave",40.7728384,-73.94989233
682,"3 Ave & E 71 St",40.76873687,-73.96119945
830,"E 77 St & 3 Ave",40.77314236,-73.95856158
1872,"E 72 St & York Ave",40.76663814,-73.95348296
763,"East End Ave & E 86 St",40.77518615,-73.94446054
1194,"W 63 St & Broadway",40.77163851,-73.98261428
803,"W 67 St & Broadway",40.77492513,-73.98266566
829,"Fulton St & William St",40.70955958,-74.00653609
1554,"Central Park West & W 76 St",40.77896784,-73.97374737
913,"W 76 St & Columbus Ave",40.7801839724239,-73.97728532552719
2406,"Central Park West & W 68 St",40.7734066,-73.97782542
2105,"Columbus Ave & W 72 St",40.7770575,-73.97898475
2486,"Central Park West & W 72 St",40.77579376683666,-73.9762057363987
1656,"Riverside Dr & W 72 St",40.78057799010334,-73.98562431335449
2088,"Amsterdam Ave & W 73 St",40.77966809007312,-73.98093044757842
2321,"Central Park West & W 85 St",40.78472675,-73.96961715
1037,"Riverside Dr & W 82 St",40.78720869,-73.98128127
1564,"E 6 St & Avenue B",40.72453734,-73.98185424
908,"W 84 St & Columbus Ave",40.78499979,-73.97283406
932,"Amsterdam Ave & W 82 St",40.78524672,-73.97667321
812,"W 74 St & Columbus Ave",40.7785669,-73.97754961
1363,"Riverside Blvd & W 67 St",40.777507027547976,-73.98888587951659
1667,"W 70 St & Amsterdam Ave",40.77748046,-73.98288594
845,"W 84 St & Broadway",40.7867947,-73.977112
858,"Riverside Dr & W 78 St",40.78414472,-73.98362492
301,"Park Ave & Marcus Garvey Blvd",40.698617,-73.941342
954,"Fulton St & Broadway",40.711066,-74.009447
1,"Sip Ave",40.73089709786179,-74.06391263008118
2,"Newport Pkwy",40.7287448,-74.0321082
680,"Leonard St & Church St",40.717571,-74.005549
3,"Newport PATH",40.7272235,-74.0337589
544,"Cadman Plaza E & Red Cross Pl",40.69991755,-73.98971773
267,"47 Ave & 31 St",40.743,-73.93561
1047,"W 82 St & Central Park West",40.78275,-73.97137
667,"Lawrence St & Willoughby St",40.69236178,-73.98631746
387,"E 67 St & Park Ave",40.76780080148132,-73.96592080593109
1061,"Bond St & Fulton St",40.68962188790333,-73.98304268717766
672,"E 48 St & 5 Ave",40.75724567911726,-73.97805914282799
619,"E 41 St & Madison Ave",40.752165280621966,-73.97992193698882
1385,"W 42 St & Dyer Ave",40.75898481399634,-73.99379968643188
783,"DeKalb Ave & Hudson Ave",40.689888,-73.981013
310,"Monroe St & Tompkins Ave",40.686203,-73.944694
463,"Schermerhorn St & Court St",40.69102925677968,-73.99183362722397
581,"E 58 St & 1 Ave (NE Corner)",40.75892386377695,-73.96226227283478
1444,"University Pl & E 8 St",40.73143724085228,-73.99490341544151
395,"Montague St & Clinton St",40.694281141397326,-73.99230033159256
328,"Verona Pl & Fulton St",40.6803560840434,-73.9476791024208
1110,"E 19 St & 3 Ave",40.73624527,-73.98473765
1466,"8 Ave & W 31 St",40.7505853470215,-73.9946848154068
3530,"Pier 40 - Hudson River Park",40.7277140777778,-74.01129573583603
1580,"9 Ave & W 28 St",40.74937024193277,-73.99923384189606
1641,"E 11 St & 1 Ave",40.72953837,-73.98426726
979,"Mercer St & Bleecker St",40.72706363348306,-73.99662137031554
1277,"Cooper Square & Astor Pl",40.72951496224949,-73.99075269699097
1543,"Vesey Pl & River Terrace",40.7153379,-74.01658354
1092,"Watts St & Greenwich St",40.72405549,-74.00965965
2342,"5 Ave & E 88 St",40.78307,-73.95939
1001,"W 89 St & Columbus Ave",40.7882213,-73.97041561
665,"E 88 St & Park Ave",40.781410700190015,-73.95595908164978
842,"W 87 St & Amsterdam Ave",40.78839,-73.9747
